Date,Close,High,Low,Open,Volume
3/2/2016,76.09986115,77.01720564,74.98735066,75.88517319,15524956
3/3/2016,76.97814178,78.40294072,75.63142173,76.70489696,16866745
3/4/2016,78.34440613,79.78871833,77.6808025,78.03211734,22523046
3/8/2016,78.79331207,80.54991305,78.46151026,79.14463584,12258796
3/9/2016,80.12052155,80.41328838,78.57861739,78.85187121,7688815
3/10/2016,80.29619598,81.56485546,79.76921917,81.56485546,13467873
3/11/2016,80.0619812,81.0378648,78.92994873,81.0378648,14262115
3/14/2016,81.29159546,81.58436232,80.31571188,80.9988286,7498647
3/15/2016,80.9597702,81.15495401,80.0424349,80.41327162,5504455
3/16/2016,80.90104675,81.78253512,80.27421118,81.21446006,5188654
3/17/2016,83.1537323,84.19192727,81.68458509,81.7041779,8394324
3/18/2016,84.0743866,84.23109322,83.25166785,83.74138054,6776230
3/21/2016,84.87752533,85.21053141,83.44755489,83.83933044,5801745
3/22/2016,84.66202545,85.8569356,84.23107337,84.87750149,6610557
3/23/2016,84.0743866,85.30847369,83.01659894,84.77957538,5978227
3/28/2016,83.8197403,85.68066299,83.21249759,84.81875856,7205974
3/29/2016,83.1537323,84.62287951,82.5464806,84.6032867,5003185
3/30/2016,85.36723328,85.79818546,83.17331365,83.44755024,5849823
3/31/2016,83.87850952,85.23012668,83.11455122,84.11356948,18261630
4/1/2016,81.80211639,84.21152145,81.52787976,84.03522199,10266195
4/4/2016,81.21444702,81.74334534,80.13707551,81.66498306,5494027
4/5/2016,80.50926208,81.68457978,79.94119605,80.70514538,4906771
4/6/2016,80.74432373,81.4886982,79.92160491,80.97939265,4317508
4/7/2016,81.39074707,82.07635202,80.97938769,81.90005258,5045077
4/8/2016,80.76393127,82.05677921,80.56804794,81.41035972,2418253
4/11/2016,81.3319931,81.97842152,80.39174419,81.72376872,5192644
4/12/2016,82.80113983,83.31044543,81.155702,81.42993865,6343279
4/13/2016,83.58468628,84.3878213,83.36921015,84.23110569,6437622
4/18/2016,81.31240845,82.95785524,80.74433337,82.95785524,4950201
4/20/2016,82.2134552,82.54646123,81.5082665,81.84127252,4820409
4/21/2016,83.42795563,84.01561442,82.95783577,83.11454239,7037139
4/22/2016,84.66202545,85.15173802,83.31040871,84.58367216,4497202
4/25/2016,83.17332458,84.79917843,82.93825565,84.79917843,2813826
4/26/2016,83.9568634,84.46616894,82.6444229,83.13413562,4140094
4/27/2016,86.89515686,87.65911516,84.58369811,84.62287477,10536442
4/28/2016,84.95586395,88.30551695,84.32902857,87.09102283,11597841
4/29/2016,85.11257172,86.48378143,84.46615248,85.4259939,6088467
5/2/2016,85.30849457,86.54257299,84.62288947,85.40643175,4911861
