Date,Close,High,Low,Open,Volume,Ticker,Returns,Ma_7,Ma_30,Volatility,Lag_1
2016-03-02,-0.6592651878467077,73.82298276,70.67358396,71.48260645,7180521,NTPC_NS,-0.6465013305762579,-0.8077203060192352,-1.3293697958320216,2.073168833286507,207.2822571
2016-03-03,-0.6717635583173149,48.66852025,47.6553327,48.52631477,7057560,POWERGRID_NS,-0.3418656167115146,-0.9046972403430198,-1.3285691003547293,2.1073272808168264,73.27400208
2016-03-03,-0.6497791517068598,93.26418223,91.01951783,91.85276913,6511139,WIPRO_NS,0.9136969966633208,-0.9020838120295992,-1.3659613347353399,2.0875828279603708,48.22414017
2016-03-03,0.9480794785882906,3329.809598,3266.810732,3310.453469,742263,MARUTI_NS,34.701849894647644,-0.9026735084373454,-1.213695889917629,1.5536116604805288,92.28639221
2016-03-03,-0.6574170455131565,78.40294072,75.63142173,76.70489696,16866745,ONGC_NS,-0.9766364391100637,-0.9263920357215957,-1.359611324456542,1.5542101210618764,3294.794922
2016-03-03,-0.22749827142688375,945.7031255,910.1057682,923.9491849,2648284,TCS_NS,11.193629549835048,-0.8122264174368433,-1.3192676965621366,1.5547234674019283,76.97814178
2016-03-03,-0.6306234715002682,131.444192,129.1491372,130.7487232,4612120,KOTAKBANK_NS,-0.8607786171583541,-0.8245945202365063,-1.3292691562041965,1.5667361154427566,938.6429443
2016-03-03,-0.5863230304169638,220.5842574,216.1422331,218.8507775,15880459,RELIANCE_NS,0.6794439403255861,-0.8009904252430333,-1.3209762607263953,1.5470525338130459,130.6791687
2016-03-03,-0.6246698455447732,145.6822553,141.984166,144.7857472,10227569,ITC_NS,-0.3501945374006522,-0.785750891493993,-1.3281226078288244,1.5471855828125076,219.468338
2016-03-03,-0.3983519539190365,598.6124707,572.6183765,572.6183765,4450185,DRREDDY_NS,3.1806479237107936,-0.7043890059994132,-1.3140685199344064,1.5227041484332668,142.6117249
2016-03-03,-0.4731565779316434,455.270436,440.4427161,445.786042,5814304,INFY_NS,-0.2514673235326028,-1.1643012442486969,-1.320248342918025,-0.07799812394816727,596.2094116
2016-03-03,-0.6593805128377487,74.45864346,72.78282011,73.96745158,4161891,NTPC_NS,-0.8363303363065188,-1.1649366226208118,-1.4105357980686348,-0.08068901266825602,446.2822266
2016-03-03,-0.5793044983602355,234.4892877,232.1903731,232.3627917,4610400,HDFCBANK_NS,2.1972355175764355,-1.278781179629265,-1.44646228229947,-0.5954159622410757,73.04286194
2016-03-03,-0.5317112349556282,331.1832074,319.5990169,320.1277447,1501530,TITAN_NS,0.4084557528166546,-1.2467731624594234,-1.446202488529853,-0.6173625554767255,233.5352325
2016-03-03,-0.6658449703071293,62.04460196,59.81641847,61.76390375,6545100,BAJFINANCE_NS,-0.8173241723242513,-1.2725064762161578,-1.4478665241060957,-0.5966934697969255,328.9240417
2016-03-03,0.19812043289552733,1801.200077,1784.607248,1801.107402,450450,EICHERMOT_NS,28.818514625390996,-1.0062513971733313,-1.3948412853661891,1.1021979077465462,60.08647156
2016-03-03,-0.4927275818821903,408.8622825,397.2502093,401.3973804,14677533,AXISBANK_NS,-0.7728082484183749,-1.0367913670070525,-1.4114149618114327,1.137973341489818,1791.689331
2016-03-03,-0.588290894378194,217.371594,206.1927511,209.2243125,3290989,ADANIPORTS_NS,-0.47053059793138463,-1.0740488520907712,-1.4086811940327424,1.140717841531024,407.0570374
2016-03-03,-0.3355235270009217,728.2580791,719.4536713,727.7476983,746384,HINDUNILVR_NS,2.3505896136153615,-0.969248674424583,-1.380546313794711,1.1086862437137013,215.5242462
2016-03-03,-0.2965745902512761,802.9071781,783.382342,790.0897423,2447143,SUNPHARMA_NS,0.10810111569916403,-0.8777572263559192,-1.3616804687846837,1.1278673090267315,722.1333008
2016-03-03,-0.6793522840764049,33.54266358,32.40696914,33.2785492,7706783,ADANIENT_NS,-0.9587421016138954,-0.9255338958592774,-1.3713498357144214,1.1448581547947763,800.1967163
2016-03-03,0.7141541115785878,2889.058114,2818.127512,2879.459915,376438,ULTRACEMCO_NS,84.59740511274863,-0.47896594986577173,-1.2303667601240718,5.034782367424432,33.01443481
2016-03-03,-0.5538186882576166,285.9383629,276.5906175,280.3467993,3265002,BHARTIARTL_NS,-0.8992851330578997,-0.7222935819296092,-1.2179391556331336,5.0392641646348935,2825.949951
2016-03-03,-0.29090853068391,826.5347237,803.7162804,806.1594898,1061326,ASIANPAINT_NS,1.8514042596196334,-0.6569849014101841,-1.1821434607883627,5.009784303925725,284.6151733
2016-03-03,-0.6126507098996729,172.7413991,164.7556355,171.4975098,475900,BAJAJFINSV_NS,-0.7945900055248092,-0.6648677420040655,-1.2074821319089912,5.013851283334413,811.5529175
2016-03-03,-0.6034866975370125,187.0205954,181.8420844,185.5774028,22903720,ICICIBANK_NS,0.11017909342246779,-0.7515806711928976,-1.201755584018856,5.037480144390421,166.7010803
2016-03-03,-0.5295506195635066,334.8783268,326.3620333,331.7749373,2371409,TECHM_NS,0.8007130244091578,-0.8269717553184893,-1.3575837955085066,5.029741150589679,185.0680542
2016-03-03,-0.6135250876956153,166.6184083,161.1125942,166.0768479,33507048,SBIN_NS,-0.5050370501332915,-0.8056700629738021,-1.3606808502108083,5.024110892780917,333.2544556
2016-03-03,-0.3523941995184257,690.6581831,646.893292,655.1330873,5552958,LT_NS,3.1729376087297743,-1.1508052843238108,-1.3366762714143097,-0.6069983016137667,164.9486084
2016-03-03,-0.533336230102788,328.3390282,322.7489078,327.8273993,2015842,HCLTECH_NS,-0.5268668267564405,-1.1441771572567978,-1.3304548529443232,-0.6167948651204468,688.3202515
